"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
16563,625197931.405285,0,0,FALSE,0,"19510","RUS","Sikhote-Alin (nn)","RUS",NA,NA,NA,"no pas overlapping kba",0
16566,975778859.76539,0,0,FALSE,0,"19510","RUS","Sikhote-Alin (nn)","RUS",NA,NA,NA,"no pas overlapping kba",0
16567,3860941840.74638,946720875.17211,1988,FALSE,1,"19510","RUS","Sikhote-Alin (nn)","RUS",TRUE,"19510;20707;20708",TRUE,"",0.245204645452285
16567,3860941840.74638,107080005.075575,1994,FALSE,1,"19510","RUS","Sikhote-Alin (nn)","RUS",TRUE,"19510;20707;20708",TRUE,"",0.0277341668153372
16552,1962985825.71747,0,0,FALSE,0,"19510","RUS","Sikhote-Alin (nn)","RUS",NA,NA,NA,"no pas overlapping kba",0
16505,1166538848.85979,0,0,FALSE,0,"19510","RUS","Sikhote-Alin (nn)","RUS",NA,NA,NA,"no pas overlapping kba",0
16551,4548133219.80102,1342223987.37657,1957,FALSE,1,"19510","RUS","Sikhote-Alin (nn)","RUS",FALSE,"19510",TRUE,"",0.295115363273218
16506,989251110.62213,84066713.5743368,1998,FALSE,1,"19510","RUS","Sikhote-Alin (nn)","RUS",FALSE,"19510",TRUE,"",0.0849801558690878
16507,4719265129.05114,3958033666.74138,1935,FALSE,1,"19510","RUS","Sikhote-Alin (nn)","RUS",FALSE,"19510",TRUE,"",0.838697034073435
16507,4719265129.05114,10655.1939879358,2001,FALSE,1,"19510","RUS","Sikhote-Alin (nn)","RUS",FALSE,"19510",TRUE,"",2.25780787825289e-06
16508,233520287.341705,223905034.915333,1998,FALSE,1,"19510","RUS","Sikhote-Alin (nn)","RUS",FALSE,"19510",TRUE,"",0.958824766208418
16509,210281976.882108,0,0,FALSE,0,"19510","RUS","Sikhote-Alin (nn)","RUS",NA,NA,NA,"no pas overlapping kba",0
45740,1007023948.81468,0,0,FALSE,0,"19510","RUS","Sikhote-Alin (nn)","RUS",NA,NA,NA,"no pas overlapping kba",0
