"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
451,629966960.346928,35989469.2693495,1931,FALSE,1,"20152","ROU","Rodna Mountains","ROU",TRUE,"20141;20152;20153",TRUE,"",0.0571291377718124
451,629966960.346928,3613343.77730611,1976,FALSE,2,"20152","ROU","Rodna Mountains","ROU",TRUE,"20141;20152;20153",TRUE,"",0.00573576711914576
451,629966960.346928,20826094.2828001,1977,FALSE,1,"20152","ROU","Rodna Mountains","ROU",TRUE,"20141;20152;20153",TRUE,"",0.0330590262564421
451,629966960.346928,430673965.204818,1990,FALSE,1,"20152","ROU","Rodna Mountains","ROU",TRUE,"20141;20152;20153",TRUE,"",0.683645321601696
451,629966960.346928,NA,1995,FALSE,1,"20152","ROU","Rodna Mountains","ROU",TRUE,"20141;20152;20153",TRUE,"",NA
451,629966960.346928,NA,2000,FALSE,4,"20152","ROU","Rodna Mountains","ROU",TRUE,"20141;20152;20153",TRUE,"",NA
451,629966960.346928,34227240.126743,2005,FALSE,1,"20152","ROU","Rodna Mountains","ROU",TRUE,"20141;20152;20153",TRUE,"",0.0543318019533815
451,629966960.346928,75690799.0280862,2007,FALSE,1,"20152","ROU","Rodna Mountains","ROU",TRUE,"20141;20152;20153",TRUE,"",0.120150426597615
451,629966960.346928,89664.5836852676,2009,FALSE,3,"20152","ROU","Rodna Mountains","ROU",TRUE,"20141;20152;20153",TRUE,"",0.000142332200463162
451,629966960.346928,0.00586777121858972,2011,FALSE,1,"20152","ROU","Rodna Mountains","ROU",TRUE,"20141;20152;20153",TRUE,"",9.3144110531738e-12
451,629966960.346928,NA,2016,FALSE,1,"20152","ROU","Rodna Mountains","ROU",TRUE,"20141;20152;20153",TRUE,"",NA
