"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
27479,46219174.5300063,0,0,FALSE,0,"18799","WSM;ASM","Samoan Islands","WSM",0
23805,45795440.2290192,31711412.4283335,1999,FALSE,1,"18799","WSM;ASM","Samoan Islands","WSM",0.69245785758904
23810,19259175.5077832,0,0,FALSE,0,"18799","WSM;ASM","Samoan Islands","WSM",0
23807,42150159.3373556,42122250.135727,1978,FALSE,2,"18799","WSM;ASM","Samoan Islands","WSM",0.999337862488128
23808,48857234.0195195,45544307.794239,1999,FALSE,2,"18799","WSM;ASM","Samoan Islands","WSM",0.932191695011696
31293,11499255.7231104,16741.9427915075,2003,FALSE,1,"18799","WSM;ASM","Samoan Islands","ASM",0.00145591533875194
31294,22136704.2717554,0,0,FALSE,0,"18799","WSM;ASM","Samoan Islands","ASM",0
31334,2488902163.06841,381608.907339476,1994,FALSE,1,"18799","WSM;ASM","Samoan Islands","ASM",0.000153324189677675
27480,83499502.3556877,785349.98752166,1958,FALSE,1,"18799","WSM;ASM","Samoan Islands","WSM",0.00940544512680158
27480,83499502.3556877,4680522.57229498,2003,FALSE,2,"18799","WSM;ASM","Samoan Islands","WSM",0.0560544966167234
27480,83499502.3556877,207601.316327699,2015,FALSE,1,"18799","WSM;ASM","Samoan Islands","WSM",0.00248625812694508
27480,83499502.3556877,96180.2841667831,2016,FALSE,1,"18799","WSM;ASM","Samoan Islands","WSM",0.00115186655552842
27481,812499896.281888,58140758.1832999,2004,FALSE,1,"18799","WSM;ASM","Samoan Islands","WSM",0.0715578653601804
27481,812499896.281888,49939526.324551,2008,FALSE,2,"18799","WSM;ASM","Samoan Islands","WSM",0.0614640402455203
23806,4682140.64010853,4391370.33686927,2003,FALSE,2,"18799","WSM;ASM","Samoan Islands","WSM",0.937897998887851
