"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
31340,3807170025.18195,0,0,FALSE,0,"12607","VUT","Vanuatu Islands","VUT",0
27486,153959993.979405,0,0,FALSE,0,"12607","VUT","Vanuatu Islands","VUT",0
27487,219635422.248836,34237373.357935,1984,TRUE,1,"12607","VUT","Vanuatu Islands","VUT",0.155882748817928
44687,38496101.7463694,0,0,FALSE,0,"12607","VUT","Vanuatu Islands","VUT",0
44688,137422147.844004,0,0,FALSE,0,"12607","VUT","Vanuatu Islands","VUT",0
27484,187246234.14751,0,0,FALSE,0,"12607","VUT","Vanuatu Islands","VUT",0
44700,20634449.6431549,0,0,FALSE,0,"12607","VUT","Vanuatu Islands","VUT",0
44702,37683949.2747214,0,0,FALSE,0,"12607","VUT","Vanuatu Islands","VUT",0
44703,34388850.2772523,0,0,FALSE,0,"12607","VUT","Vanuatu Islands","VUT",0
44709,51965105.0985673,0,0,FALSE,0,"12607","VUT","Vanuatu Islands","VUT",0
44710,97318580.5361812,0,0,FALSE,0,"12607","VUT","Vanuatu Islands","VUT",0
27485,1683599267.32199,20735754.0858166,1995,TRUE,1,"12607","VUT","Vanuatu Islands","VUT",0.0123163240138491
44724,113320558.629991,33330437.8377379,1994,FALSE,1,"12607","VUT","Vanuatu Islands","VUT",0.294125251769777
44689,20301575.2931938,0,0,FALSE,0,"12607","VUT","Vanuatu Islands","VUT",0
44704,59691065.049304,0,0,FALSE,0,"12607","VUT","Vanuatu Islands","VUT",0
27482,140996683.279142,0,0,FALSE,0,"12607","VUT","Vanuatu Islands","VUT",0
44723,44235760.1288138,0,0,FALSE,0,"12607","VUT","Vanuatu Islands","VUT",0
44725,56455979.9598888,0,0,FALSE,0,"12607","VUT","Vanuatu Islands","VUT",0
44701,140534082.16794,0,0,FALSE,0,"12607","VUT","Vanuatu Islands","VUT",0
44721,213901526.017426,0,0,FALSE,0,"12607","VUT","Vanuatu Islands","VUT",0
44726,42730554.6458139,0,0,FALSE,0,"12607","VUT","Vanuatu Islands","VUT",0
44706,222459810.99719,13924514.9317051,1984,TRUE,1,"12607","VUT","Vanuatu Islands","VUT",0.0625933954959668
44708,612010181.59494,129716283.898361,1984,TRUE,1,"12607","VUT","Vanuatu Islands","VUT",0.211951186106597
44708,612010181.59494,1052636.63123466,2001,TRUE,1,"12607","VUT","Vanuatu Islands","VUT",0.00171996588110906
44727,327173059.557881,18560748.8957092,1995,FALSE,1,"12607","VUT","Vanuatu Islands","VUT",0.0567306761772834
44677,40556129.7792008,0,0,FALSE,0,"12607","VUT","Vanuatu Islands","VUT",0
