"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
30630,51489370276.2216,22038.9949552417,1964,FALSE,1,"20823","JPN","Mashike Mountains","JPN",TRUE,"15712;20823",TRUE,"",4.2802999603628e-07
30630,51489370276.2216,2017387.99985369,1965,FALSE,1,"20823","JPN","Mashike Mountains","JPN",TRUE,"15712;20823",TRUE,"",3.91806695057861e-05
30630,51489370276.2216,112653.504162312,1968,FALSE,1,"20823","JPN","Mashike Mountains","JPN",TRUE,"15712;20823",TRUE,"",2.18789827022484e-06
30630,51489370276.2216,2014572230.74536,1973,FALSE,3,"20823","JPN","Mashike Mountains","JPN",TRUE,"15712;20823",TRUE,"",0.0391259830900615
30630,51489370276.2216,19401153.5135661,1974,FALSE,1,"20823","JPN","Mashike Mountains","JPN",TRUE,"15712;20823",TRUE,"",0.000376799199708328
30630,51489370276.2216,2764688978.17854,1976,FALSE,5,"20823","JPN","Mashike Mountains","JPN",TRUE,"15712;20823",TRUE,"",0.0536943637754161
30630,51489370276.2216,154542.349182596,1982,FALSE,1,"20823","JPN","Mashike Mountains","JPN",TRUE,"15712;20823",TRUE,"",3.00144181903048e-06
30630,51489370276.2216,1.56164169311523e-05,1986,FALSE,1,"20823","JPN","Mashike Mountains","JPN",TRUE,"15712;20823",TRUE,"",3.0329399733141e-16
30630,51489370276.2216,18039.0059448954,1987,FALSE,1,"20823","JPN","Mashike Mountains","JPN",TRUE,"15712;20823",TRUE,"",3.50344271994837e-07
30630,51489370276.2216,2028562.16974996,1990,FALSE,1,"20823","JPN","Mashike Mountains","JPN",TRUE,"15712;20823",TRUE,"",3.93976884717655e-05
30630,51489370276.2216,27221.1355218887,1994,FALSE,1,"20823","JPN","Mashike Mountains","JPN",TRUE,"15712;20823",TRUE,"",5.28674858050454e-07
30630,51489370276.2216,8727739590.34616,2013,FALSE,1,"20823","JPN","Mashike Mountains","JPN",TRUE,"15712;20823",TRUE,"",0.169505658032426
