"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
26135,1011526819.75385,44273.5875351429,1912,FALSE,1,"16062","USA","Pemigewasset Ranges","USA",TRUE,"16055;16056;16057;16060;16061;16062;16063;16064;16068;16070;16071;16072;16073;16074;16076;16077;16078;16081;16082;16084;16087;16089;19119",TRUE,"",4.37690693618157e-05
26135,1011526819.75385,20706312.5585726,1964,FALSE,3,"16062","USA","Pemigewasset Ranges","USA",TRUE,"16055;16056;16057;16060;16061;16062;16063;16064;16068;16070;16071;16072;16073;16074;16076;16077;16078;16081;16082;16084;16087;16089;19119",TRUE,"",0.0204703544722734
26135,1011526819.75385,69302366.0844149,1975,FALSE,1,"16062","USA","Pemigewasset Ranges","USA",TRUE,"16055;16056;16057;16060;16061;16062;16063;16064;16068;16070;16071;16072;16073;16074;16076;16077;16078;16081;16082;16084;16087;16089;19119",TRUE,"",0.0685126333093961
26135,1011526819.75385,1841547.92954837,1976,FALSE,1,"16062","USA","Pemigewasset Ranges","USA",TRUE,"16055;16056;16057;16060;16061;16062;16063;16064;16068;16070;16071;16072;16073;16074;16076;16077;16078;16081;16082;16084;16087;16089;19119",TRUE,"",0.001820562632236
26135,1011526819.75385,2634.36021210696,1977,FALSE,1,"16062","USA","Pemigewasset Ranges","USA",TRUE,"16055;16056;16057;16060;16061;16062;16063;16064;16068;16070;16071;16072;16073;16074;16076;16077;16078;16081;16082;16084;16087;16089;19119",TRUE,"",2.6043404491717e-06
26135,1011526819.75385,177722090.256964,1984,FALSE,2,"16062","USA","Pemigewasset Ranges","USA",TRUE,"16055;16056;16057;16060;16061;16062;16063;16064;16068;16070;16071;16072;16073;16074;16076;16077;16078;16081;16082;16084;16087;16089;19119",TRUE,"",0.175696864172333
26135,1011526819.75385,1390510.6389246,1994,FALSE,1,"16062","USA","Pemigewasset Ranges","USA",TRUE,"16055;16056;16057;16060;16061;16062;16063;16064;16068;16070;16071;16072;16073;16074;16076;16077;16078;16081;16082;16084;16087;16089;19119",TRUE,"",0.00137466512184321
26135,1011526819.75385,5170914.58170271,2001,FALSE,1,"16062","USA","Pemigewasset Ranges","USA",TRUE,"16055;16056;16057;16060;16061;16062;16063;16064;16068;16070;16071;16072;16073;16074;16076;16077;16078;16081;16082;16084;16087;16089;19119",TRUE,"",0.00511198959901137
26135,1011526819.75385,NA,2002,FALSE,1,"16062","USA","Pemigewasset Ranges","USA",TRUE,"16055;16056;16057;16060;16061;16062;16063;16064;16068;16070;16071;16072;16073;16074;16076;16077;16078;16081;16082;16084;16087;16089;19119",TRUE,"",NA
26135,1011526819.75385,43334960.2128202,2006,FALSE,1,"16062","USA","Pemigewasset Ranges","USA",TRUE,"16055;16056;16057;16060;16061;16062;16063;16064;16068;16070;16071;16072;16073;16074;16076;16077;16078;16081;16082;16084;16087;16089;19119",TRUE,"",0.0428411381354829
26135,1011526819.75385,586917.825925454,2016,FALSE,1,"16062","USA","Pemigewasset Ranges","USA",TRUE,"16055;16056;16057;16060;16061;16062;16063;16064;16068;16070;16071;16072;16073;16074;16076;16077;16078;16081;16082;16084;16087;16089;19119",TRUE,"",0.000580229623637938
