"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","note","percPA"
20176,53922915.9202714,53831139.7377124,1992,FALSE,1,"11861","BRA","Serra de Paranapiacaba","BRA",FALSE,"11861",TRUE,"",0.99829801150415
20177,315539852.165735,309834841.708771,1992,FALSE,1,"11861","BRA","Serra de Paranapiacaba","BRA",FALSE,"11861",TRUE,"",0.981919841763861
20178,465092280.381397,276042969.025489,1999,FALSE,1,"11861","BRA","Serra de Paranapiacaba","BRA",FALSE,"11861",TRUE,"",0.593523007518253
20180,231841206.236458,228435255.397089,1992,FALSE,1,"11861","BRA","Serra de Paranapiacaba","BRA",FALSE,"11861",TRUE,"",0.985309122158833
20258,4376450665.75754,29371217.022406,1957,FALSE,1,"11861","BRA","Serra de Paranapiacaba","BRA",FALSE,"11861",TRUE,"",0.00671119573041549
20258,4376450665.75754,357948999.674036,1958,FALSE,1,"11861","BRA","Serra de Paranapiacaba","BRA",FALSE,"11861",TRUE,"",0.0817897942903184
20258,4376450665.75754,401153543.597957,1982,FALSE,1,"11861","BRA","Serra de Paranapiacaba","BRA",FALSE,"11861",TRUE,"",0.0916618452337837
20258,4376450665.75754,2601305196.11824,1984,FALSE,1,"11861","BRA","Serra de Paranapiacaba","BRA",FALSE,"11861",TRUE,"",0.594386957557071
20258,4376450665.75754,18067393.0746135,1995,FALSE,1,"11861","BRA","Serra de Paranapiacaba","BRA",FALSE,"11861",TRUE,"",0.00412832097388356
20258,4376450665.75754,13626164.6012311,1999,FALSE,1,"11861","BRA","Serra de Paranapiacaba","BRA",FALSE,"11861",TRUE,"",0.00311351952573021
20258,4376450665.75754,838838.056889668,2004,FALSE,1,"11861","BRA","Serra de Paranapiacaba","BRA",FALSE,"11861",TRUE,"",0.000191670858637331
20258,4376450665.75754,405980600.693909,2008,FALSE,2,"11861","BRA","Serra de Paranapiacaba","BRA",FALSE,"11861",TRUE,"",0.0927648068491675
20258,4376450665.75754,3519546.69497532,2012,FALSE,1,"11861","BRA","Serra de Paranapiacaba","BRA",FALSE,"11861",TRUE,"",0.000804201158375471
20258,4376450665.75754,NA,2018,FALSE,1,"11861","BRA","Serra de Paranapiacaba","BRA",FALSE,"11861",TRUE,"",NA
20260,227942708.787638,94599642.2389159,1984,FALSE,1,"11861","BRA","Serra de Paranapiacaba","BRA",FALSE,"11861",TRUE,"",0.415014995399783
20260,227942708.787638,75228764.1795593,1987,FALSE,1,"11861","BRA","Serra de Paranapiacaba","BRA",FALSE,"11861",TRUE,"",0.33003365003285
20260,227942708.787638,337.220055658021,1989,FALSE,1,"11861","BRA","Serra de Paranapiacaba","BRA",FALSE,"11861",TRUE,"",1.47940707317026e-06
20260,227942708.787638,3085627.5322989,1999,FALSE,1,"11861","BRA","Serra de Paranapiacaba","BRA",FALSE,"11861",TRUE,"",0.0135368555928394
20260,227942708.787638,6504.23767249286,2008,FALSE,1,"11861","BRA","Serra de Paranapiacaba","BRA",FALSE,"11861",TRUE,"",2.8534528290407e-05
20260,227942708.787638,25088.4162078332,2017,FALSE,1,"11861","BRA","Serra de Paranapiacaba","BRA",FALSE,"11861",TRUE,"",0.000110064569914393
